age,loan_amount,duration_months,savings_months,arrears_12m,debt_to_income,purpose,employment_status,credit_history,default_flag
21,15601,48,12,0,0.252,consumer_goods,permanent,minor_arrears,0
48,4553,12,0,0,0.213,home_improvement,contractor,minor_arrears,0
57,15834,36,0,0,0.232,consumer_goods,self_employed,clean,1
47,3234,18,3,0,0.585,small_business,casual,clean,0
39,2889,36,6,1,0.02,car,self_employed,clean,0
61,9154,12,6,0,0.16,consumer_goods,contractor,restructured,0
39,8422,12,3,1,0.757,consumer_goods,contractor,clean,1
55,7445,24,6,0,0.415,consumer_goods,permanent,clean,0
43,6452,6,3,2,0.143,car,contractor,clean,0
22,11430,12,0,0,0.313,home_improvement,permanent,minor_arrears,0
46,9186,36,0,0,0.331,education,casual,minor_arrears,0
23,13985,36,0,2,0.455,consumer_goods,casual,minor_arrears,1
66,14845,12,1,0,0.614,small_business,self_employed,clean,0
50,10574,48,3,0,0.382,consumer_goods,self_employed,restructured,0
39,5459,36,1,0,0.234,home_improvement,permanent,minor_arrears,0
44,5434,48,3,0,0.446,car,contractor,minor_arrears,0
51,6628,36,3,0,0.208,home_improvement,contractor,minor_arrears,0
33,10536,36,6,0,0.155,car,permanent,restructured,0
35,13443,24,6,0,0.038,consumer_goods,permanent,restructured,0
41,5668,36,1,0,0.07,small_business,permanent,clean,0
33,19133,48,1,0,0.177,consumer_goods,contractor,clean,0
58,7336,12,3,0,0.132,education,permanent,clean,0
26,1711,18,3,0,0.37,consumer_goods,self_employed,minor_arrears,0
61,27119,12,1,1,0.128,consumer_goods,permanent,minor_arrears,0
38,8901,60,1,0,0.02,consumer_goods,self_employed,clean,0
48,14999,24,6,0,0.153,car,permanent,clean,0
28,2357,36,6,0,0.245,home_improvement,contractor,restructured,0
39,5066,48,0,0,0.223,car,permanent,restructured,0
57,6814,60,3,0,0.563,car,casual,prior_default,1
34,3282,12,12,0,0.222,small_business,contractor,clean,0
27,7220,36,0,0,0.461,consumer_goods,self_employed,minor_arrears,0
46,6294,48,12,0,0.317,consumer_goods,contractor,minor_arrears,0
28,17840,6,0,0,0.313,education,permanent,clean,1
36,1678,36,3,0,0.186,education,permanent,clean,0
43,12211,18,3,0,0.311,home_improvement,permanent,prior_default,0
48,15769,36,0,0,0.198,car,permanent,clean,0
52,27269,24,12,0,0.347,car,casual,clean,1
54,13749,18,3,0,0.282,home_improvement,casual,minor_arrears,1
62,4290,12,24,0,0.169,car,contractor,minor_arrears,0
24,7084,12,1,0,0.479,small_business,contractor,clean,0
38,9963,12,12,3,0.388,home_improvement,contractor,minor_arrears,0
21,19541,36,24,0,0.248,consumer_goods,contractor,clean,0
21,2182,18,3,0,0.343,small_business,permanent,minor_arrears,0
31,12179,12,1,0,0.307,education,permanent,clean,0
50,2583,36,6,0,0.181,consumer_goods,casual,minor_arrears,0
64,5603,36,3,0,0.331,consumer_goods,contractor,minor_arrears,0
58,3010,24,24,0,0.221,education,permanent,clean,0
52,5014,48,3,0,0.169,education,permanent,clean,0
59,14251,24,1,0,0.06,small_business,casual,minor_arrears,0
29,6445,36,0,1,0.263,car,permanent,clean,0
62,4686,12,6,1,0.411,car,permanent,clean,0
64,4257,36,24,0,0.209,car,self_employed,clean,1
25,3568,60,0,0,0.723,consumer_goods,casual,restructured,1
44,13588,48,6,0,0.462,small_business,permanent,clean,0
61,8647,24,24,0,0.529,small_business,contractor,clean,0
44,10664,36,0,0,0.447,consumer_goods,permanent,prior_default,1
62,2828,18,0,0,0.616,home_improvement,contractor,clean,1
66,8672,36,6,0,0.194,home_improvement,permanent,clean,0
44,1589,36,6,0,0.02,car,casual,clean,0
23,17751,60,0,1,0.249,car,permanent,clean,1
37,12172,24,12,0,0.409,small_business,permanent,clean,0
31,7828,12,3,0,0.344,home_improvement,self_employed,minor_arrears,1
44,1461,24,12,0,0.364,home_improvement,permanent,clean,0
49,4110,12,12,0,0.531,consumer_goods,permanent,minor_arrears,0
43,2985,18,12,0,0.381,small_business,permanent,clean,0
30,7535,18,3,1,0.448,home_improvement,casual,clean,0
35,10917,36,1,0,0.17,home_improvement,contractor,clean,0
54,10523,12,3,0,0.145,education,self_employed,clean,0
