application_row,score_pd,feature,observed_value,reference_value,pd_impact,absolute_impact,direction
1,0.48424256962119827,checking_status,0<=X<200,no checking,0.20373127375917716,0.20373127375917716,increases_risk
1,0.48424256962119827,duration,48,18.0,0.16627001057962476,0.16627001057962476,increases_risk
1,0.48424256962119827,age,22,33.0,0.07658449198082556,0.07658449198082556,increases_risk
1,0.48424256962119827,personal_status,female div/dep/mar,male single,0.047081593587832204,0.047081593587832204,increases_risk
2,0.08046408685328776,duration,12,18.0,-0.07067942102981661,0.07067942102981661,reduces_risk
2,0.08046408685328776,age,49,33.0,-0.0641022390546134,0.0641022390546134,reduces_risk
2,0.08046408685328776,credit_history,critical/other existing credit,existing paid,-0.027136890977433284,0.027136890977433284,reduces_risk
2,0.08046408685328776,purpose,education,radio/tv,0.019167538381505478,0.019167538381505478,increases_risk
6,0.12134313846461547,savings_status,500<=X<1000,<100,-0.05305714828030958,0.05305714828030958,reduces_risk
6,0.12134313846461547,purpose,furniture/equipment,radio/tv,0.016783977813155437,0.016783977813155437,increases_risk
6,0.12134313846461547,age,53,33.0,0.012035927533512028,0.012035927533512028,increases_risk
6,0.12134313846461547,employment,>=7,1<=X<4,-0.010583720194151491,0.010583720194151491,reduces_risk
11,0.8110761039043265,checking_status,<0,no checking,0.3226693391084256,0.3226693391084256,increases_risk
11,0.8110761039043265,duration,48,18.0,0.14550026673622718,0.14550026673622718,increases_risk
11,0.8110761039043265,credit_amount,4308,2372.0,0.059716601643741596,0.059716601643741596,increases_risk
11,0.8110761039043265,employment,<1,1<=X<4,0.04728512321324563,0.04728512321324563,increases_risk
13,0.4862943647084814,checking_status,<0,no checking,0.3339898837591804,0.3339898837591804,increases_risk
13,0.4862943647084814,credit_history,critical/other existing credit,existing paid,-0.20043836010435956,0.20043836010435956,reduces_risk
13,0.4862943647084814,credit_amount,1199,2372.0,0.10692920382621268,0.10692920382621268,increases_risk
13,0.4862943647084814,purpose,new car,radio/tv,0.07743905676074797,0.07743905676074797,increases_risk
21,0.10700393343331088,duration,6,18.0,-0.18536241091684902,0.18536241091684902,reduces_risk
21,0.10700393343331088,checking_status,<0,no checking,0.05708746693498135,0.05708746693498135,increases_risk
21,0.10700393343331088,installment_commitment,2,4.0,-0.039218880827736224,0.039218880827736224,reduces_risk
