feature,importance_mean_auc_drop,importance_std
checking_status,0.10468749999999996,0.02635002387378603
credit_history,0.036160714285714254,0.01155494214287417
credit_amount,0.025267857142857106,0.011237828828056927
purpose,0.014806547619047594,0.010774456949108183
property_magnitude,0.01272321428571424,0.002569497111368048
savings_status,0.01221726190476187,0.013825670145583873
duration,0.011264880952380915,0.01333784169900221
employment,0.00998511904761902,0.012297313285624016
residence_since,0.007589285714285701,0.005273403053238447
other_payment_plans,0.004717261904761849,0.005482959552165244
personal_status,0.0038541666666666308,0.0019378976989244386
foreign_worker,0.0024702380952380254,0.003904485145534631
job,0.0019196428571428004,0.004745670802852585
other_parties,0.0017559523809523303,0.0018923984919023173
existing_credits,0.00031249999999997946,0.0018422955608895864
own_telephone,0.0002529761904761646,0.0005371590966601222
num_dependents,0.0,0.0
age,-0.000967261904761943,0.007939110126477678
housing,-0.0018750000000000294,0.008208838342143025
installment_commitment,-0.005133928571428609,0.004327850690100689
