account_id,reporting_month,product_type,state,risk_band,status,days_past_due,ead,original_pd,stressed_pd,pd_uplift,lifetime_pd,lgd,ifrs9_stage,stage_trigger,ecl_provision,coverage_ratio
AUS-000017,2026-08-31,auto_loan,ACT,C,CURRENT,0,45862.1,0.109983,0.155763,1.4162461471318295,0.287263887831,0.38,Stage 1,performing,2714.574947274,0.059189939999999996
AUS-002565,2026-08-31,auto_loan,NSW,D,CURRENT,0,21166.28,0.227926,0.3228,1.4162491334906944,0.4427174759172866,0.38,Stage 1,performing,2596.34056992,0.122664
AUS-001527,2026-08-31,personal_loan,QLD,D,CURRENT,0,12203.9,0.206401,0.292315,1.4162479832946546,0.45396562601747215,0.62,Stage 1,performing,2211.77747767,0.1812353
AUS-000852,2026-08-31,personal_loan,SA,C,CURRENT,0,20471.18,0.120147,0.170158,1.4162484290077988,0.39188213203620337,0.62,Stage 1,performing,2159.6677287928,0.10549796
AUS-000154,2026-08-31,auto_loan,VIC,D,CURRENT,0,16625.89,0.215572,0.305304,1.4162507190173121,0.4871892388420529,0.38,Stage 1,performing,1928.8612738128002,0.11601552000000001
AUS-002752,2026-08-31,auto_loan,WA,C,CURRENT,0,35880.51,0.091121,0.12905,1.4162487242238344,0.31611769844182647,0.38,Stage 1,performing,1759.54432989,0.049039
AUS-000469,2026-08-31,personal_loan,QLD,D,CURRENT,0,6661.42,0.296185,0.419472,1.4162499788983238,0.49326726075540395,0.62,Stage 1,performing,1732.4530855488001,0.26007264
AUS-000437,2026-08-31,personal_loan,NSW,C,CURRENT,0,15108.9,0.12305,0.17427,1.416253555465258,0.37045711494944045,0.62,Stage 1,performing,1632.47736186,0.1080474
AUS-002207,2026-08-31,auto_loan,QLD,D,CURRENT,0,16497.11,0.16407,0.232364,1.416249161943073,0.35643528783854117,0.38,Stage 1,performing,1456.6670978552002,0.08829832
AUS-001680,2026-08-31,auto_loan,NSW,C,CURRENT,0,25832.55,0.097382,0.137917,1.416247355774168,0.3593110362284744,0.38,Stage 1,performing,1353.8441633730001,0.052408460000000004
AUS-001980,2026-08-31,personal_loan,SA,C,CURRENT,0,15893.92,0.095713,0.135554,1.4162548452143386,0.27945649900096337,0.62,Stage 1,performing,1335.7803476416,0.08404348
AUS-000330,2026-08-31,personal_loan,QLD,C,CURRENT,0,14027.74,0.104974,0.148669,1.4162459275630155,0.2654488802264998,0.62,Stage 1,performing,1293.0038483972,0.09217478
AUS-002579,2026-08-31,personal_loan,NSW,D,CURRENT,0,6648.04,0.215735,0.305535,1.4162514195656708,0.305535,0.62,Stage 1,performing,1259.3495188680001,0.1894317
AUS-000317,2026-08-31,personal_loan,TAS,B,CURRENT,0,31874.81,0.04181,0.059213,1.416240133939249,0.11491982063099992,0.62,Stage 1,performing,1170.1899372086,0.03671206
AUS-001621,2026-08-31,personal_loan,SA,D,CURRENT,0,8133.25,0.155736,0.220561,1.4162492936764781,0.32600753253074444,0.62,Stage 1,performing,1112.2042070149998,0.13674782
AUS-002252,2026-08-31,auto_loan,ACT,D,CURRENT,0,8989.74,0.190162,0.269317,1.4162503549605072,0.422534882022367,0.38,Stage 1,performing,920.0141268803999,0.10234046
AUS-000177,2026-08-31,personal_loan,NSW,C,CURRENT,0,7240.88,0.13973,0.197893,1.416252773205468,0.46462485921166863,0.62,Stage 1,performing,888.4100688208001,0.12269366000000001
AUS-001480,2026-08-31,auto_loan,NSW,C,CURRENT,0,11036.74,0.146469,0.207437,1.4162519031330865,0.42983791335691857,0.38,Stage 1,performing,869.9827294444,0.07882606
AUS-001344,2026-08-31,auto_loan,ACT,C,CURRENT,0,10719.06,0.148519,0.21034,1.4162497727563474,0.21033999999999997,0.38,Stage 1,performing,856.765890552,0.0799292
AUS-001677,2026-08-31,auto_loan,QLD,C,CURRENT,0,10536.51,0.149864,0.212245,1.4162507339988255,0.3145864539516755,0.38,Stage 1,performing,849.802194681,0.08065309999999999
AUS-000332,2026-08-31,personal_loan,NSW,B,CURRENT,0,23044.51,0.041861,0.059286,1.4162585700293828,0.1329028664162255,0.62,Stage 1,performing,847.0544283131999,0.036757319999999996
AUS-001516,2026-08-31,personal_loan,QLD,C,CURRENT,0,8332.45,0.108508,0.153674,1.416245806760792,0.29362252873738093,0.62,Stage 1,performing,793.8981712060001,0.09527788000000001
AUS-002143,2026-08-31,auto_loan,VIC,C,CURRENT,0,11521.19,0.122415,0.17337,1.4162480088224483,0.4261158578126484,0.38,Stage 1,performing,759.022909914,0.0658806
AUS-000435,2026-08-31,personal_loan,NSW,C,CURRENT,0,11716.56,0.073433,0.103999,1.41624337831765,0.20449539761868363,0.62,Stage 1,performing,755.4765245328,0.06447938
AUS-001426,2026-08-31,personal_loan,QLD,C,CURRENT,0,11328.68,0.075735,0.10726,1.4162540437050242,0.1954440725304083,0.62,Stage 1,performing,753.370814416,0.0665012
AUS-001824,2026-08-31,auto_loan,QLD,C,CURRENT,0,16546.26,0.082854,0.117342,1.4162502715620249,0.22091485503600006,0.38,Stage 1,performing,737.7970715495999,0.04458996
AUS-002177,2026-08-31,personal_loan,VIC,B,CURRENT,0,13112.75,0.062851,0.089013,1.4162543157626766,0.20172149765587188,0.62,Stage 1,performing,723.667233765,0.05518806
