product_type,risk_band,ifrs9_stage,accounts,exposure,average_pd,ecl_provision,coverage_ratio
auto_loan,A,Stage 1,241,2050539.1400000001,0.029777929460580912,22892.0321810988,0.011163908912803682
auto_loan,A,Stage 2,1,1717.69,0.036794,24.016260626799998,0.013981719999999998
auto_loan,A,Stage 3,2,20047.010000000002,0.028711,7617.8638,0.37999999999999995
auto_loan,B,Stage 1,171,1257363.6,0.06197550877192982,28626.4615835382,0.022767051299670354
auto_loan,B,Stage 2,2,28901.66,0.074437,1336.5351961802726,0.04624423635805945
auto_loan,B,Stage 3,3,28986.489999999998,0.07643466666666666,11014.8662,0.38000000000000006
auto_loan,C,Stage 1,77,526022.7,0.1361448831168831,27859.8464175264,0.05296320181149294
auto_loan,C,Stage 2,1,13148.92,0.212289,1572.1622719491984,0.1195658861677764
auto_loan,C,Stage 3,3,22512.88,0.13749666666666668,8554.8944,0.37999999999999995
auto_loan,D,Stage 1,11,94601.81,0.2586669090909091,9784.8797880602,0.10343226824159284
credit_card,A,Stage 1,241,354235.52,0.02942095435684647,6534.3846322586,0.018446441035214648
credit_card,A,Stage 2,2,4787.14,0.024121999999999998,165.1926690037078,0.034507590963228106
credit_card,A,Stage 3,1,2785.7,0.022704,1727.1339999999998,0.62
credit_card,B,Stage 1,208,326263.16,0.06437051442307692,13028.67373397,0.03993302134991275
credit_card,B,Stage 2,5,7443.9,0.0731166,684.9676391116806,0.092017308012155
credit_card,C,Stage 1,73,115940.13,0.13612145205479453,9690.5955280764,0.08358275541071412
credit_card,C,Stage 3,1,6535.36,0.131099,4051.9231999999997,0.62
credit_card,D,Stage 1,14,18578.87,0.2476667142857143,2937.9062176348,0.15813158806939284
credit_card,D,Stage 2,1,1549.68,0.287347,472.8351614897553,0.30511793498642
credit_card,D,Stage 3,1,894.97,0.269682,554.8814,0.62
personal_loan,A,Stage 1,236,974129.79,0.02986122033898305,18077.7679729986,0.018557863806832765
personal_loan,A,Stage 2,1,11094.72,0.028621,196.87602829440004,0.017745020000000004
personal_loan,B,Stage 1,265,1122126.02,0.06306630943396227,43722.223035148396,0.03896373692069666
personal_loan,B,Stage 2,3,6941.38,0.046866,235.46190844990787,0.033921483689109064
personal_loan,B,Stage 3,4,32696.600000000002,0.074779,20271.892,0.62
personal_loan,C,Stage 1,93,394403.52,0.1329245053763441,32901.2973809738,0.08342039488129771
personal_loan,C,Stage 2,4,10028.69,0.13344124999999998,883.2461672989566,0.08807193833880163
personal_loan,C,Stage 3,3,14554.18,0.109095,9023.5916,0.62
personal_loan,D,Stage 1,7,40244.3,0.2829567142857143,7329.9030409644,0.18213518537940526
