reporting_month,active_accounts,exposure,balance_30_plus,balance_90_plus,defaults,write_offs,recoveries,expected_loss,average_pd,balance_30_plus_rate,balance_90_plus_rate,expected_loss_rate
2021-09-30,73,1583838.22,0.0,0.0,0,0.0,0.0,32966.25,0.043730520547945205,0.0,0.0,0.02081415234442316
2021-10-31,154,3026746.11,13261.38,0.0,0,0.0,0.0,75328.2,0.05111372077922078,0.004381398213806575,0.0,0.02488751856362343
2021-11-30,232,4287346.44,31646.05,0.0,0,0.0,0.0,96121.27,0.045764030172413796,0.007381267281027095,0.0,0.022419758082344286
2021-12-31,298,5258881.33,26857.74,0.0,0,0.0,0.0,120524.38,0.04613722818791946,0.005107120376873003,0.0,0.02291825436570557
2022-01-31,380,6686181.76,36206.14,0.0,0,0.0,0.0,149132.24,0.045499173684210525,0.005415069661522333,0.0,0.022304544709236263
2022-02-28,456,8020225.4,36361.78,26918.41,0,0.0,0.0,173728.54,0.045299151315789474,0.004533760360400843,0.0033563158960594796,0.021661303932929366
2022-03-31,543,9479910.63,152324.86,27131.67,1,27131.67,521.34,205971.51,0.04543106998158379,0.016068174684891516,0.0028620174871838424,0.02172715735823345
2022-04-30,617,10576302.95,82040.47,0.0,0,0.0,0.0,226456.59,0.04493806482982172,0.0077570083220810165,0.0,0.021411696608028802
2022-05-31,709,12006327.79,49817.62,17034.26,0,0.0,0.0,257096.3,0.04449527080394922,0.004149280352106729,0.0014187735249230607,0.021413400041779135
2022-06-30,787,13064780.94,187508.77000000002,0.0,0,0.0,0.0,280756.16,0.0445011207115629,0.0143522322234972,0.0,0.02148954209713676
2022-07-31,874,14376181.68,238302.88,9426.12,0,0.0,0.0,316140.4,0.045196537757437066,0.016576229022726152,0.0006556761878652052,0.021990567943351146
2022-08-31,962,15773326.83,215285.62,9498.03,1,9498.03,1453.1,346817.22,0.04518140644490644,0.013648713573254477,0.0006021576869842872,0.021987575844835263
2022-09-30,1050,16788827.51,179626.27,59859.17999999999,0,0.0,0.0,372935.47,0.04541093619047619,0.010699155131173302,0.0035654175352236965,0.022213312381574403
2022-10-31,1138,17760695.99,161109.33000000002,77621.45000000001,2,60284.8,8091.49,408458.44,0.04683124868189807,0.009071115799218182,0.004370405869438004,0.022997884780527684
2022-11-30,1213,18712040.94,170999.88,31943.510000000002,1,17471.97,1456.04,456744.72,0.04963633058532564,0.009138494328240819,0.0017071098819432147,0.02440913428228102
2022-12-31,1311,20031295.14,266264.42,27557.28,0,0.0,0.0,514453.93,0.052451954233409606,0.013292421590269674,0.0013757113460413023,0.025682509613305014
2023-01-31,1401,20724208.26,273733.74,57036.67999999999,1,14641.13,808.5,535172.89,0.05264565667380442,0.013208405192893964,0.002752176550458965,0.025823562631965172
2023-02-28,1497,21992506.35,337154.73,56007.479999999996,0,0.0,0.0,583082.64,0.05419944154976619,0.015330436860371758,0.0025466619906193634,0.026512787161250495
2023-03-31,1585,22774505.3,371654.4,91232.34,4,56408.43,6016.4800000000005,634807.03,0.05701143659305994,0.01631887916353555,0.0040058977702580436,0.02787358151748745
2023-04-30,1668,23623359.58,438868.58999999997,97586.65,1,10375.59,386.18,660696.17,0.05737413129496403,0.018577738213473867,0.004130938686748805,0.027967917423538626
2023-05-31,1737,24118848.48,486789.56,115372.39,3,57515.29,2164.2,702617.56,0.0598761065054692,0.02018295195160992,0.004783494953984635,0.029131472034522272
2023-06-30,1802,24409414.48,487968.52,94016.17,6,49064.65,3408.8900000000003,736442.88,0.06209428523862375,0.01999099652307596,0.0038516356087538563,0.030170444301456264
2023-07-31,1873,24889925.55,506811.8,133839.59,3,39756.82,1245.79,753178.11,0.062328502402562734,0.020362125992779433,0.005377259555523258,0.03026036009979146
2023-08-31,1952,25355292.82,689577.77,252290.33,6,68645.48999999999,5077.58,766887.85,0.06233903278688525,0.02719660052421355,0.009950203761835317,0.0302456712073578
2023-09-30,2034,26222220.83,653169.36,204597.52,9,119479.62,7914.46,790343.61,0.06232956833824975,0.024909002339448302,0.007802448210867272,0.030140224015495792
2023-10-31,2097,26629144.33,516019.27,137897.72,2,32314.56,3058.23,797662.87,0.06193620028612303,0.01937798915373561,0.005178451034367127,0.029954506240043352
2023-11-30,2175,27407398.87,573104.54,232498.66,3,40353.69,1709.06,849630.89,0.06405592919540229,0.020910577567698967,0.008483061858689986,0.03100005564300382
2023-12-31,2241,27655042.12,665973.05,300684.19,10,127091.56,14299.06,875327.54,0.06496475502008033,0.02408143321967213,0.010872671561854052,0.031651643711183036
2024-01-31,2302,28127834.34,601091.18,185233.97,5,47201.0,3234.17,885519.6,0.0648008909643788,0.021369977252219556,0.006585433053997431,0.03148196868966628
2024-02-29,2367,28459910.99,626353.62,276921.22,9,128361.34,9437.49,898292.05,0.06498946176594847,0.022008277545916527,0.00973022087445397,0.03156341740898748
2024-03-31,2423,28871305.09,528949.59,181092.05,9,115306.6,9399.26,912329.97,0.06477943829962855,0.018320944908833008,0.006272388776173609,0.03159988670952041
2024-04-30,2476,29235389.86,494279.82,83709.79,2,14136.64,1295.21,928858.32,0.06463499394184169,0.016906900245454774,0.002863303359416873,0.03177170971374212
2024-05-31,2539,29496021.13,641193.25,127190.16,6,63755.33,4161.29,937731.65,0.06473789759747932,0.021738296401878122,0.0043121124520295595,0.031791801540521886
2024-06-30,2594,29688987.17,725368.89,211725.13,1,8494.62,559.96,945638.55,0.06485039282960679,0.02443225448704318,0.007131436609395119,0.03185149242664447
2024-07-31,2643,29716052.26,789162.97,335369.98,8,143679.28,9240.85,941419.77,0.06445417858494136,0.026556790353416883,0.011285818757676393,0.03168051266578301
2024-08-31,2705,30037386.86,698340.63,303939.93,8,122587.1,11943.710000000001,947220.01,0.064213373012939,0.02324904737069395,0.010118720760118745,0.03153470088509557
