product_type,risk_band,accounts,exposure,expected_loss,scenario,pd_multiplier,lgd_uplift,expected_loss_rate
auto_loan,A,244,2072303.84,23135.3533682402,base,1.0,0.0,0.011164073974905243
auto_loan,B,176,1315251.75,30219.853134011402,base,1.0,0.0,0.022976478179186154
auto_loan,C,81,561684.5,30051.9058510534,base,1.0,0.0,0.05350317812055238
auto_loan,D,11,94601.81,9784.8797880602,base,1.0,0.0,0.10343226824159284
credit_card,A,244,361808.36,6645.683551653,base,1.0,0.0,0.018367965714371555
credit_card,B,213,333707.06,13355.7665843648,base,1.0,0.0,0.04002242740793317
credit_card,C,74,122475.48999999999,10221.7986076732,base,1.0,0.0,0.08345995274379552
credit_card,D,16,21023.52,3363.6312007048,base,1.0,0.0,0.15999372135136267
personal_loan,A,237,985224.51,18274.644001293,base,1.0,0.0,0.018548710284616243
personal_loan,B,272,1161764.0,45709.3342957868,base,1.0,0.0,0.03934476735015614
personal_loan,C,100,418986.39,34721.2769686904,base,1.0,0.0,0.08286970125375767
personal_loan,D,7,40244.3,7329.9030409644,base,1.0,0.0,0.18213518537940526
auto_loan,A,244,2072303.84,35342.296395430094,moderate,1.35,0.05,0.01705459195376972
auto_loan,B,176,1315251.75,46164.80195866742,moderate,1.35,0.05,0.0350995936395199
auto_loan,C,81,561684.5,45908.24038562237,moderate,1.35,0.05,0.08173314447100173
auto_loan,D,11,94601.81,14947.691360444594,moderate,1.35,0.05,0.1580063992480122
credit_card,A,244,361808.36,9695.194794306677,moderate,1.35,0.05,0.026796491917175924
credit_card,B,213,333707.06,19484.34012186768,moderate,1.35,0.05,0.05838755740399283
credit_card,C,74,122475.48999999999,14912.28522683937,moderate,1.35,0.05,0.12175730202703718
credit_card,D,16,21023.52,4907.103904899181,moderate,1.35,0.05,0.23341019510049604
personal_loan,A,237,985224.51,26660.34757930568,moderate,1.35,0.05,0.027060174923282894
personal_loan,B,272,1161764.0,66684.02075893414,moderate,1.35,0.05,0.05739893881970361
personal_loan,C,100,418986.39,50653.86293254915,moderate,1.35,0.05,0.12089620126455455
personal_loan,D,7,40244.3,10693.382742826292,moderate,1.35,0.05,0.2657117341543098
auto_loan,A,244,2072303.84,54794.257977411005,severe,1.8,0.12,0.026441227835301895
auto_loan,B,176,1315251.75,71573.336370027,severe,1.8,0.12,0.054417974634914566
auto_loan,C,81,561684.5,71175.566489337,severe,1.8,0.12,0.12671805344341353
auto_loan,D,11,94601.81,23174.715287511,severe,1.8,0.12,0.24497116162482516
credit_card,A,244,361808.36,14277.500791615801,severe,1.8,0.12,0.03946150053474663
credit_card,B,213,333707.06,28693.35659737728,severe,1.8,0.12,0.08598366662478546
credit_card,C,74,122475.48999999999,21960.38023454952,severe,1.8,0.12,0.17930428557215425
credit_card,D,16,21023.52,7226.38186990128,severe,1.8,0.12,0.3437284465161533
personal_loan,A,237,985224.51,39261.0093705198,severe,1.8,0.12,0.03984980983727232
personal_loan,B,272,1161764.0,98201.34400320648,severe,1.8,0.12,0.08452779050065803
personal_loan,C,100,418986.39,74594.74342305744,severe,1.8,0.12,0.1780361968871052
personal_loan,D,7,40244.3,15747.46911381384,severe,1.8,0.12,0.39129688213769004
