origination_vintage,months_on_book,active_accounts,defaults_in_month,exposure,originations,cumulative_defaults,cumulative_default_rate
2021Q3,0,73,0,1583838.22,73,0,0.0
2021Q3,1,73,0,1542157.25,73,0,0.0
2021Q3,2,73,0,1501280.07,73,0,0.0
2021Q3,3,73,0,1460765.41,73,0,0.0
2021Q3,4,73,0,1420250.22,73,0,0.0
2021Q3,5,73,0,1379953.03,73,0,0.0
2021Q3,6,73,1,1339729.73,73,1,0.0136986301369863
2021Q3,7,72,0,1272161.58,73,1,0.0136986301369863
2021Q3,8,72,0,1231725.01,73,1,0.0136986301369863
2021Q3,9,72,0,1191374.53,73,1,0.0136986301369863
2021Q3,10,72,0,1150938.03,73,1,0.0136986301369863
2021Q3,11,72,0,1110501.54,73,1,0.0136986301369863
2021Q3,12,72,0,1070065.01,73,1,0.0136986301369863
2021Q3,13,72,0,1029628.43,73,1,0.0136986301369863
2021Q3,14,72,0,989191.9299999999,73,1,0.0136986301369863
2021Q3,15,72,0,949535.18,73,1,0.0136986301369863
2021Q3,16,72,0,909808.5700000001,73,1,0.0136986301369863
2021Q3,17,72,0,869372.0700000001,73,1,0.0136986301369863
2021Q3,18,72,0,828935.53,73,1,0.0136986301369863
2021Q3,19,72,0,788499.01,73,1,0.0136986301369863
2021Q3,20,72,0,748275.87,73,1,0.0136986301369863
2021Q3,21,72,0,708149.2,73,1,0.0136986301369863
2021Q3,22,72,0,668484.45,73,1,0.0136986301369863
2021Q3,23,72,1,628510.63,73,2,0.0273972602739726
2021Q3,24,59,0,587715.48,73,2,0.0273972602739726
2021Q3,25,59,0,559069.15,73,2,0.0273972602739726
2021Q3,26,59,0,530422.78,73,2,0.0273972602739726
2021Q3,27,59,0,501776.45,73,2,0.0273972602739726
2021Q3,28,59,0,473130.1,73,2,0.0273972602739726
2021Q3,29,59,0,444483.74,73,2,0.0273972602739726
2021Q3,30,59,0,416308.46,73,2,0.0273972602739726
2021Q3,31,59,0,388382.01,73,2,0.0273972602739726
2021Q3,32,59,0,360567.0,73,2,0.0273972602739726
2021Q3,33,59,0,333031.09,73,2,0.0273972602739726
2021Q3,34,59,1,306264.64,73,3,0.0410958904109589
2021Q3,35,58,0,277895.54,73,3,0.0410958904109589
2021Q3,36,41,1,260548.46,73,4,0.0547945205479452
2021Q3,37,40,0,232255.54,73,4,0.0547945205479452
2021Q3,38,40,0,217003.89,73,4,0.0547945205479452
2021Q3,39,40,0,202308.67,73,4,0.0547945205479452
2021Q3,40,40,0,187584.98,73,4,0.0547945205479452
2021Q3,41,40,0,172959.71,73,4,0.0547945205479452
2021Q3,42,40,0,158688.32,73,4,0.0547945205479452
2021Q3,43,40,1,144541.81,73,5,0.0684931506849315
2021Q3,44,39,0,124367.88,73,5,0.0684931506849315
2021Q3,45,39,1,110254.4,73,6,0.0821917808219178
2021Q3,46,38,0,94090.11,73,6,0.0821917808219178
2021Q3,47,38,0,79932.73,73,6,0.0821917808219178
2021Q3,48,25,0,73031.71,73,6,0.0821917808219178
2021Q3,49,25,0,66576.55,73,6,0.0821917808219178
2021Q3,50,25,0,60098.159999999996,73,6,0.0821917808219178
2021Q3,51,25,0,53568.85,73,6,0.0821917808219178
2021Q3,52,25,0,47039.58,73,6,0.0821917808219178
2021Q3,53,25,0,40510.26,73,6,0.0821917808219178
2021Q3,54,25,0,33980.96,73,6,0.0821917808219178
2021Q3,55,25,0,27451.68,73,6,0.0821917808219178
2021Q3,56,25,0,20922.36,73,6,0.0821917808219178
2021Q3,57,25,0,14393.08,73,6,0.0821917808219178
2021Q3,58,25,0,7863.74,73,6,0.0821917808219178
2021Q3,59,25,0,1424.8999999999999,73,6,0.0821917808219178
2021Q4,0,225,0,3914218.82,225,0,0.0
2021Q4,1,225,0,3806312.75,225,0,0.0
2021Q4,2,225,0,3698480.29,225,0,0.0
2021Q4,3,225,0,3590953.23,225,0,0.0
2021Q4,4,225,0,3484764.81,225,0,0.0
2021Q4,5,225,0,3377659.2,225,0,0.0
2021Q4,6,225,0,3270239.51,225,0,0.0
2021Q4,7,225,0,3163380.89,225,0,0.0
2021Q4,8,225,0,3056907.25,225,0,0.0
2021Q4,9,225,1,2951028.57,225,1,0.0044444444444444444
2021Q4,10,224,0,2834679.75,225,1,0.0044444444444444444
2021Q4,11,224,1,2728830.59,225,2,0.008888888888888889
2021Q4,12,223,0,2605097.32,225,2,0.008888888888888889
2021Q4,13,223,0,2498411.93,225,2,0.008888888888888889
2021Q4,14,223,0,2392124.76,225,2,0.008888888888888889
2021Q4,15,223,0,2285563.4,225,2,0.008888888888888889
2021Q4,16,223,0,2179603.49,225,2,0.008888888888888889
2021Q4,17,223,0,2073864.01,225,2,0.008888888888888889
2021Q4,18,223,1,1968102.61,225,3,0.013333333333333334
2021Q4,19,222,1,1856976.93,225,4,0.017777777777777778
2021Q4,20,221,1,1742887.27,225,5,0.022222222222222223
2021Q4,21,220,1,1634093.3,225,6,0.02666666666666667
2021Q4,22,219,2,1528685.8599999999,225,8,0.035555555555555556
2021Q4,23,217,0,1414733.05,225,8,0.035555555555555556
2021Q4,24,168,0,1346187.76,225,8,0.035555555555555556
2021Q4,25,168,2,1283480.8,225,10,0.044444444444444446
2021Q4,26,166,1,1212074.76,225,11,0.04888888888888889
2021Q4,27,165,1,1138040.86,225,12,0.05333333333333334
2021Q4,28,164,0,1070023.05,225,12,0.05333333333333334
2021Q4,29,164,0,1008772.67,225,12,0.05333333333333334
2021Q4,30,164,1,948229.69,225,13,0.057777777777777775
2021Q4,31,163,0,887779.99,225,13,0.057777777777777775
2021Q4,32,163,1,828699.71,225,14,0.06222222222222222
