risk_decile,applications,approved,declined,approval_rate,avg_pd,observed_bad_rate,approved_observed_bad_rate,pd_parcelled_declined_bad_rate,hidden_declined_bad_rate,expected_declined_bads,hidden_declined_bads,parceling_error_bads
1,20,0,20,0.0,0.7059412192767522,0.7,,0.7059412192767522,0.7,14.118824385535046,14.0,0.1188243855350457
2,20,0,20,0.0,0.5418298270975479,0.65,,0.5418298270975479,0.65,10.836596541950959,13.0,-2.163403458049041
3,20,0,20,0.0,0.43792606566956194,0.45,,0.43792606566956194,0.45,8.758521313391238,9.0,-0.2414786866087617
4,20,0,20,0.0,0.3685977320307254,0.35,,0.3685977320307254,0.35,7.371954640614508,7.0,0.3719546406145078
5,20,0,20,0.0,0.3023202292677199,0.15,,0.3023202292677199,0.15,6.046404585354398,3.0,3.0464045853543977
6,20,0,20,0.0,0.2392672673319193,0.2,,0.2392672673319193,0.2,4.785345346638386,4.0,0.785345346638386
7,20,12,8,0.6,0.1943689518073554,0.3,0.3333333333333333,0.2120910866832106,0.25,1.696728693465685,2.0,-0.3032713065343151
8,20,20,0,1.0,0.1440144854905575,0.0,0.0,,,0.0,0.0,0.0
9,20,20,0,1.0,0.11578729947911104,0.2,0.2,,,0.0,0.0,0.0
10,20,20,0,1.0,0.06826507767417145,0.0,0.0,,,0.0,0.0,0.0
